"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,398659.910,3875201.368,0.082,0,0,0,0,,,1
2,398660.053,3875201.219,0.086,0.2065,0.2065,0.2066,0.2066,1.3,2.2,1
3,398660.196,3875201.071,0.089,0.2065,0.413,0.2065,0.4131,0.8,1.4,1
4,398660.339,3875200.922,0.09,0.2065,0.62,0.2065,0.62,0.3,0.5,1
5,398660.483,3875200.773,0.09,0.2065,0.826,0.2065,0.826,0.0,0.1,1
6,398660.626,3875200.624,0.09,0.2065,1.033,0.2065,1.033,0.0,0.0,1
7,398660.769,3875200.475,0.092,0.2065,1.239,0.2065,1.239,0.4,0.8,1
8,398660.912,3875200.327,0.094,0.2065,1.446,0.2065,1.446,0.6,1.1,1
9,398661.055,3875200.178,0.096,0.2065,1.652,0.2065,1.652,0.6,1.0,1
10,398661.198,3875200.029,0.097,0.2065,1.859,0.2065,1.859,0.3,0.6,1
11,398661.342,3875199.880,0.097,0.2065,2.065,0.2065,2.065,0.1,0.2,1
12,398661.485,3875199.732,0.095,0.2065,2.272,0.2065,2.272,0.3,0.6,1
13,398661.628,3875199.583,0.093,0.2065,2.478,0.2065,2.478,0.7,1.2,1
14,398661.771,3875199.434,0.09,0.2065,2.685,0.2065,2.685,0.8,1.3,1
15,398661.914,3875199.285,0.087,0.2065,2.891,0.2065,2.891,0.8,1.5,1
16,398662.057,3875199.137,0.083,0.2065,3.098,0.2066,3.098,1.1,1.9,1
17,398662.201,3875198.988,0.08,0.2065,3.304,0.2065,3.304,0.9,1.7,1
18,398662.344,3875198.839,0.075,0.2065,3.511,0.2066,3.511,1.2,2.2,1
19,398662.487,3875198.690,0.07,0.2065,3.717,0.2066,3.718,1.4,2.5,1
20,398662.630,3875198.542,0.065,0.2065,3.924,0.2066,3.924,1.5,2.7,1
21,398662.773,3875198.393,0.059,0.2065,4.13,0.2066,4.131,1.6,2.8,1
22,398662.916,3875198.244,0.054,0.2065,4.337,0.2066,4.337,1.3,2.2,1
23,398663.060,3875198.095,0.051,0.2065,4.543,0.2065,4.544,0.9,1.5,1
24,398663.203,3875197.947,0.051,0.2065,4.75,0.2065,4.75,0.1,0.2,1
25,398663.346,3875197.798,0.051,0.2065,4.956,0.2065,4.957,0.1,0.2,1
26,398663.489,3875197.649,0.052,0.2065,5.163,0.2065,5.163,0.2,0.3,1
27,398663.632,3875197.500,0.052,0.2065,5.369,0.2065,5.37,0.0,0.0,1
28,398663.775,3875197.352,0.051,0.2065,5.576,0.2065,5.577,0.3,0.4,1
29,398663.919,3875197.203,0.051,0.2065,5.782,0.2065,5.783,0.2,0.4,1
30,398664.062,3875197.054,0.05,0.2065,5.989,0.2065,5.99,0.2,0.4,1
31,398664.205,3875196.905,0.05,0.2065,6.195,0.2065,6.196,0.0,0.0,1
32,398664.348,3875196.757,0.051,0.2065,6.402,0.2065,6.403,0.2,0.4,1
33,398664.491,3875196.608,0.052,0.2065,6.609,0.2065,6.609,0.3,0.5,1
34,398664.634,3875196.459,0.053,0.2065,6.815,0.2065,6.816,0.4,0.7,1
35,398664.778,3875196.310,0.054,0.2065,7.022,0.2065,7.022,0.4,0.6,1
36,398664.921,3875196.162,0.055,0.2065,7.228,0.2065,7.229,0.1,0.2,1
37,398665.064,3875196.013,0.055,0.2065,7.435,0.2065,7.435,0.1,0.1,1
38,398665.207,3875195.864,0.052,0.2065,7.641,0.2065,7.642,0.8,1.4,1
39,398665.350,3875195.715,0.048,0.2065,7.848,0.2065,7.848,0.9,1.5,1
40,398665.493,3875195.566,0.047,0.2065,8.054,0.2065,8.055,0.5,0.8,1
41,398665.637,3875195.418,0.046,0.2065,8.261,0.2065,8.261,0.2,0.3,1
42,398665.780,3875195.269,0.047,0.2065,8.467,0.2065,8.468,0.4,0.7,1
43,398665.923,3875195.120,0.05,0.2065,8.674,0.2065,8.674,0.6,1.1,1
44,398666.066,3875194.971,0.053,0.2065,8.88,0.2065,8.881,0.8,1.5,1
45,398666.209,3875194.823,0.055,0.2065,9.087,0.2065,9.087,0.5,0.9,1
46,398666.352,3875194.674,0.056,0.2065,9.293,0.2065,9.294,0.3,0.6,1
