"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,396269.486,3872970.458,1.037,0,0,0,0,,,1
2,396269.540,3872970.355,1.039,0.1168,0.1168,0.1168,0.1168,0.6,1.0,1
3,396269.594,3872970.251,1.04,0.1168,0.2335,0.1168,0.2335,0.8,1.4,1
4,396269.649,3872970.148,1.042,0.1168,0.3503,0.1168,0.3503,0.9,1.5,1
5,396269.703,3872970.045,1.044,0.1168,0.467,0.1168,0.4671,1.1,1.9,1
6,396269.757,3872969.941,1.047,0.1168,0.584,0.1168,0.584,1.3,2.3,1
7,396269.812,3872969.838,1.05,0.1168,0.701,0.1168,0.701,1.5,2.5,1
8,396269.866,3872969.735,1.053,0.1168,0.817,0.1168,0.817,1.6,2.7,1
9,396269.920,3872969.631,1.056,0.1168,0.934,0.1168,0.934,1.6,2.8,1
10,396269.974,3872969.528,1.059,0.1168,1.051,0.1168,1.051,1.4,2.4,1
11,396270.029,3872969.425,1.062,0.1168,1.168,0.1168,1.168,1.3,2.3,1
12,396270.083,3872969.321,1.064,0.1168,1.284,0.1168,1.285,1.0,1.7,1
13,396270.137,3872969.218,1.065,0.1168,1.401,0.1168,1.401,0.8,1.3,1
14,396270.192,3872969.115,1.067,0.1168,1.518,0.1168,1.518,0.6,1.1,1
15,396270.246,3872969.012,1.068,0.1168,1.635,0.1168,1.635,0.4,0.7,1
16,396270.300,3872968.908,1.068,0.1168,1.751,0.1168,1.752,0.3,0.6,1
17,396270.354,3872968.805,1.069,0.1168,1.868,0.1168,1.868,0.1,0.2,1
18,396270.409,3872968.702,1.069,0.1168,1.985,0.1168,1.985,0.1,0.2,1
19,396270.463,3872968.598,1.069,0.1168,2.102,0.1168,2.102,0.0,0.1,1
20,396270.517,3872968.495,1.069,0.1168,2.218,0.1168,2.219,0.1,0.3,1
21,396270.572,3872968.392,1.07,0.1168,2.335,0.1168,2.335,0.2,0.4,1
22,396270.626,3872968.288,1.071,0.1168,2.452,0.1168,2.452,0.5,0.9,1
23,396270.680,3872968.185,1.072,0.1168,2.569,0.1168,2.569,0.7,1.2,1
24,396270.734,3872968.082,1.074,0.1168,2.685,0.1168,2.686,0.8,1.4,1
25,396270.789,3872967.978,1.075,0.1168,2.802,0.1168,2.802,0.8,1.4,1
26,396270.843,3872967.875,1.077,0.1168,2.919,0.1168,2.919,0.7,1.2,1
27,396270.897,3872967.772,1.078,0.1168,3.036,0.1168,3.036,0.6,1.1,1
28,396270.952,3872967.668,1.079,0.1168,3.152,0.1168,3.153,0.5,0.8,1
29,396271.006,3872967.565,1.08,0.1168,3.269,0.1168,3.269,0.4,0.7,1
30,396271.060,3872967.462,1.081,0.1168,3.386,0.1168,3.386,0.3,0.6,1
31,396271.114,3872967.358,1.081,0.1168,3.503,0.1168,3.503,0.3,0.6,1
32,396271.169,3872967.255,1.082,0.1168,3.619,0.1168,3.62,0.4,0.6,1
33,396271.223,3872967.152,1.083,0.1168,3.736,0.1168,3.736,0.3,0.6,1
34,396271.277,3872967.048,1.084,0.1168,3.853,0.1168,3.853,0.6,1.0,1
35,396271.332,3872966.945,1.085,0.1168,3.97,0.1168,3.97,0.8,1.4,1
36,396271.386,3872966.842,1.088,0.1168,4.086,0.1168,4.087,1.1,1.9,1
37,396271.440,3872966.738,1.091,0.1168,4.203,0.1168,4.204,1.5,2.6,1
38,396271.495,3872966.635,1.094,0.1168,4.32,0.1168,4.32,1.6,2.8,1
39,396271.549,3872966.532,1.097,0.1168,4.437,0.1168,4.437,1.7,2.9,1
40,396271.603,3872966.428,1.1,0.1168,4.553,0.1168,4.554,1.5,2.6,1
41,396271.657,3872966.325,1.103,0.1168,4.67,0.1168,4.671,1.4,2.4,1
42,396271.712,3872966.222,1.105,0.1168,4.787,0.1168,4.787,1.1,2.0,1
43,396271.766,3872966.118,1.108,0.1168,4.904,0.1168,4.904,1.0,1.8,1
