"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,389185.410,3866392.336,1.164,0,0,0,0,,,1
2,389185.490,3866392.237,1.161,0.1277,0.1277,0.1278,0.1278,1.2,2.1,1
3,389185.570,3866392.137,1.159,0.1277,0.2555,0.1278,0.2555,1.1,1.8,1
4,389185.650,3866392.038,1.156,0.1277,0.3832,0.1278,0.3833,1.1,1.9,1
5,389185.730,3866391.938,1.153,0.1277,0.511,0.1278,0.511,1.3,2.2,1
6,389185.810,3866391.839,1.15,0.1277,0.639,0.1278,0.639,1.4,2.5,1
7,389185.890,3866391.739,1.147,0.1277,0.766,0.1278,0.767,1.6,2.7,1
8,389185.970,3866391.639,1.144,0.1277,0.894,0.1278,0.894,1.5,2.6,1
9,389186.050,3866391.540,1.141,0.1277,1.022,0.1278,1.022,1.3,2.3,1
10,389186.130,3866391.440,1.138,0.1277,1.15,0.1278,1.15,1.1,2.0,1
11,389186.210,3866391.341,1.136,0.1277,1.277,0.1278,1.278,1.0,1.8,1
12,389186.290,3866391.241,1.134,0.1277,1.405,0.1278,1.406,1.0,1.8,1
13,389186.370,3866391.141,1.132,0.1277,1.533,0.1278,1.533,0.7,1.2,1
14,389186.450,3866391.042,1.13,0.1277,1.661,0.1278,1.661,0.8,1.3,1
15,389186.530,3866390.942,1.128,0.1277,1.788,0.1278,1.789,1.0,1.7,1
16,389186.609,3866390.843,1.127,0.1277,1.916,0.1278,1.917,0.7,1.1,1
17,389186.689,3866390.743,1.125,0.1277,2.044,0.1278,2.044,0.8,1.4,1
18,389186.769,3866390.644,1.123,0.1277,2.172,0.1278,2.172,1.0,1.8,1
19,389186.849,3866390.544,1.12,0.1277,2.299,0.1278,2.3,1.2,2.1,1
20,389186.929,3866390.444,1.117,0.1277,2.427,0.1278,2.428,1.2,2.2,1
21,389187.009,3866390.345,1.115,0.1277,2.555,0.1278,2.555,1.2,2.1,1
22,389187.089,3866390.245,1.112,0.1277,2.683,0.1278,2.683,1.3,2.2,1
23,389187.169,3866390.146,1.109,0.1277,2.81,0.1278,2.811,1.1,1.9,1
24,389187.249,3866390.046,1.107,0.1277,2.938,0.1278,2.939,1.0,1.7,1
25,389187.329,3866389.947,1.105,0.1277,3.066,0.1278,3.066,0.8,1.4,1
26,389187.409,3866389.847,1.104,0.1277,3.194,0.1278,3.194,0.7,1.2,1
27,389187.489,3866389.747,1.103,0.1277,3.321,0.1277,3.322,0.5,0.9,1
28,389187.569,3866389.648,1.102,0.1277,3.449,0.1277,3.45,0.4,0.8,1
29,389187.649,3866389.548,1.101,0.1277,3.577,0.1277,3.577,0.4,0.8,1
30,389187.729,3866389.449,1.1,0.1277,3.705,0.1277,3.705,0.5,0.8,1
31,389187.809,3866389.349,1.099,0.1277,3.832,0.1277,3.833,0.5,0.9,1
32,389187.889,3866389.250,1.098,0.1277,3.96,0.1277,3.961,0.4,0.7,1
33,389187.969,3866389.150,1.097,0.1277,4.088,0.1277,4.088,0.1,0.2,1
34,389188.049,3866389.050,1.097,0.1277,4.216,0.1277,4.216,0.0,0.0,1
35,389188.129,3866388.951,1.097,0.1277,4.343,0.1277,4.344,0.0,0.1,1
36,389188.209,3866388.851,1.098,0.1277,4.471,0.1277,4.472,0.2,0.4,1
37,389188.289,3866388.752,1.099,0.1277,4.599,0.1277,4.599,0.3,0.6,1
