"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
70,400279.078,3876554.728,0.436,0.1607,11.091,0.1615,11.106,5.4,9.4,1
71,400279.178,3876554.602,0.457,0.1607,11.252,0.1621,11.268,7.5,13.1,1
72,400279.278,3876554.477,0.477,0.1607,11.413,0.1619,11.43,6.8,12.0,1
73,400279.378,3876554.351,0.493,0.1607,11.574,0.1616,11.591,5.9,10.3,1
74,400279.478,3876554.225,0.509,0.1607,11.734,0.1615,11.753,5.6,9.9,1
75,400279.579,3876554.100,0.521,0.1607,11.895,0.1612,11.914,4.2,7.4,1
76,400279.679,3876553.974,0.529,0.1607,12.056,0.1609,12.075,2.9,5.0,1
77,400279.779,3876553.849,0.534,0.1607,12.217,0.1608,12.236,1.7,3.0,1
78,400279.879,3876553.723,0.539,0.1607,12.377,0.1608,12.396,1.8,3.1,1
79,400279.979,3876553.597,0.545,0.1607,12.538,0.1609,12.557,2.1,3.6,1
80,400280.080,3876553.472,0.549,0.1607,12.699,0.1608,12.718,1.6,2.8,1
81,400280.180,3876553.346,0.555,0.1607,12.86,0.1608,12.879,1.9,3.3,1
82,400280.280,3876553.220,0.561,0.1607,13.02,0.1609,13.04,2.4,4.2,1
83,400280.380,3876553.095,0.569,0.1607,13.181,0.1609,13.201,2.7,4.8,1
84,400280.480,3876552.969,0.577,0.1607,13.342,0.1609,13.362,2.8,4.9,1
85,400280.581,3876552.843,0.584,0.1607,13.503,0.1609,13.523,2.7,4.7,1
86,400280.681,3876552.718,0.593,0.1607,13.663,0.161,13.684,3.0,5.2,1
87,400280.781,3876552.592,0.602,0.1607,13.824,0.161,13.845,3.2,5.6,1
88,400280.881,3876552.467,0.611,0.1607,13.985,0.161,14.006,3.3,5.8,1
89,400280.981,3876552.341,0.621,0.1607,14.146,0.1611,14.167,3.6,6.3,1
90,400281.082,3876552.215,0.63,0.1607,14.306,0.161,14.328,3.2,5.6,1
91,400281.182,3876552.090,0.641,0.1607,14.467,0.1611,14.489,3.8,6.6,1
92,400281.282,3876551.964,0.652,0.1607,14.628,0.1612,14.65,4.1,7.1,1
93,400281.382,3876551.838,0.665,0.1607,14.789,0.1612,14.811,4.4,7.6,1
94,400281.482,3876551.713,0.678,0.1607,14.949,0.1613,14.972,4.7,8.3,1
95,400281.583,3876551.587,0.693,0.1607,15.11,0.1614,15.134,5.3,9.4,1
96,400281.683,3876551.461,0.71,0.1607,15.271,0.1617,15.296,6.1,10.6,1
97,400281.783,3876551.336,0.727,0.1607,15.432,0.1617,15.457,6.1,10.7,1
98,400281.883,3876551.210,0.744,0.1607,15.592,0.1616,15.619,6.0,10.5,1
99,400281.984,3876551.085,0.762,0.1607,15.753,0.1617,15.78,6.1,10.7,1
100,400282.084,3876550.959,0.777,0.1607,15.914,0.1615,15.942,5.5,9.7,1
101,400282.184,3876550.833,0.791,0.1607,16.075,0.1613,16.103,4.9,8.5,1
102,400282.284,3876550.708,0.802,0.1607,16.235,0.1611,16.264,4.0,7.0,1
103,400282.384,3876550.582,0.81,0.1607,16.396,0.1609,16.425,2.7,4.8,1
104,400282.485,3876550.456,0.816,0.1607,16.557,0.1609,16.586,2.2,3.8,1
105,400282.585,3876550.331,0.82,0.1607,16.718,0.1608,16.747,1.5,2.6,1
106,400282.685,3876550.205,0.824,0.1607,16.878,0.1608,16.908,1.4,2.4,1
107,400282.785,3876550.080,0.827,0.1607,17.039,0.1608,17.069,1.2,2.2,1
108,400282.885,3876549.954,0.832,0.1607,17.2,0.1608,17.229,1.7,2.9,1
109,400282.986,3876549.828,0.837,0.1607,17.361,0.1608,17.39,1.8,3.2,1
110,400283.086,3876549.703,0.843,0.1607,17.521,0.1608,17.551,2.0,3.5,1
111,400283.186,3876549.577,0.849,0.1607,17.682,0.1608,17.712,2.0,3.5,1
112,400283.286,3876549.451,0.853,0.1607,17.843,0.1608,17.873,1.7,3.0,1
113,400283.386,3876549.326,0.858,0.1607,18.004,0.1608,18.034,1.5,2.6,1
114,400283.487,3876549.200,0.861,0.1607,18.164,0.1608,18.194,1.1,1.9,1
115,400283.587,3876549.074,0.863,0.1607,18.325,0.1608,18.355,1.0,1.7,1
116,400283.687,3876548.949,0.866,0.1607,18.486,0.1608,18.516,0.8,1.5,1
117,400283.787,3876548.823,0.87,0.1607,18.647,0.1608,18.677,1.5,2.6,1
118,400283.887,3876548.698,0.876,0.1607,18.807,0.1608,18.838,2.0,3.6,1
119,400283.988,3876548.572,0.883,0.1607,18.968,0.1609,18.998,2.5,4.3,1
120,400284.088,3876548.446,0.89,0.1607,19.129,0.1609,19.159,2.7,4.6,1
121,400284.188,3876548.321,0.898,0.1607,19.29,0.1609,19.32,2.8,4.8,1
122,400284.288,3876548.195,0.905,0.1607,19.45,0.1609,19.481,2.6,4.6,1
123,400284.388,3876548.069,0.911,0.1607,19.611,0.1609,19.642,2.2,3.9,1
124,400284.489,3876547.944,0.917,0.1607,19.772,0.1608,19.803,2.0,3.5,1
