"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,394575.108,3871481.638,0.292,0,0,0,0,,,1
2,394575.246,3871481.470,0.287,0.2172,0.2172,0.2173,0.2173,1.2,2.1,1
3,394575.385,3871481.303,0.285,0.2172,0.4345,0.2172,0.4345,0.5,1.0,1
4,394575.523,3871481.135,0.285,0.2172,0.652,0.2172,0.652,0.0,0.1,1
5,394575.661,3871480.968,0.291,0.2172,0.869,0.2173,0.869,1.5,2.6,1
6,394575.800,3871480.800,0.302,0.2172,1.086,0.2175,1.087,2.8,4.9,1
7,394575.938,3871480.633,0.313,0.2172,1.303,0.2175,1.304,3.1,5.4,1
8,394576.076,3871480.465,0.324,0.2172,1.521,0.2175,1.522,2.9,5.0,1
9,394576.214,3871480.298,0.331,0.2172,1.738,0.2173,1.739,1.9,3.4,1
10,394576.353,3871480.131,0.335,0.2172,1.955,0.2173,1.956,0.9,1.6,1
11,394576.491,3871479.963,0.336,0.2172,2.172,0.2172,2.173,0.2,0.4,1
12,394576.629,3871479.796,0.336,0.2172,2.389,0.2172,2.391,0.2,0.3,1
13,394576.768,3871479.628,0.337,0.2172,2.607,0.2172,2.608,0.3,0.5,1
14,394576.906,3871479.461,0.339,0.2172,2.824,0.2172,2.825,0.4,0.6,1
15,394577.044,3871479.293,0.34,0.2172,3.041,0.2172,3.042,0.2,0.4,1
16,394577.183,3871479.126,0.337,0.2172,3.258,0.2172,3.26,0.6,1.0,1
17,394577.321,3871478.959,0.335,0.2172,3.476,0.2172,3.477,0.6,1.1,1
18,394577.459,3871478.791,0.333,0.2172,3.693,0.2172,3.694,0.5,0.8,1
19,394577.598,3871478.624,0.332,0.2172,3.91,0.2172,3.911,0.4,0.7,1
20,394577.736,3871478.456,0.33,0.2172,4.127,0.2172,4.128,0.4,0.7,1
21,394577.874,3871478.289,0.326,0.2172,4.345,0.2173,4.346,1.2,2.1,1
22,394578.012,3871478.121,0.318,0.2172,4.562,0.2174,4.563,2.1,3.6,1
23,394578.151,3871477.954,0.311,0.2172,4.779,0.2174,4.78,1.9,3.4,1
24,394578.289,3871477.787,0.307,0.2172,4.996,0.2173,4.998,1.1,1.9,1
25,394578.427,3871477.619,0.306,0.2172,5.213,0.2172,5.215,0.2,0.4,1
