"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,398186.060,3874791.698,0.135,0,0,0,0,,,1
2,398186.218,3874791.530,0.139,0.2311,0.2311,0.2312,0.2312,1.0,1.7,1
3,398186.376,3874791.361,0.143,0.2311,0.4623,0.2312,0.4624,1.2,2.0,1
4,398186.534,3874791.193,0.149,0.2311,0.693,0.2312,0.694,1.4,2.5,1
5,398186.693,3874791.024,0.153,0.2311,0.925,0.2312,0.925,1.0,1.7,1
6,398186.851,3874790.856,0.154,0.2311,1.156,0.2311,1.156,0.3,0.6,1
7,398187.009,3874790.687,0.143,0.2311,1.387,0.2314,1.387,2.7,4.8,1
8,398187.167,3874790.519,0.126,0.2311,1.618,0.2318,1.619,4.3,7.4,1
9,398187.325,3874790.350,0.092,0.2311,1.849,0.2337,1.853,8.5,14.9,1
10,398187.483,3874790.182,0.052,0.2311,2.08,0.2345,2.087,9.7,17.1,1
11,398187.642,3874790.013,0.0049681123,0.2311,2.311,0.2359,2.323,11.6,20.4,1
12,398187.800,3874789.845,0.038,0.2311,2.543,0.2351,2.558,10.5,18.5,1
13,398187.958,3874789.677,0.067,0.2311,2.774,0.2329,2.791,7.1,12.4,1
14,398188.116,3874789.508,0.087,0.2311,3.005,0.232,3.023,5.0,8.8,1
15,398188.274,3874789.340,0.09,0.2311,3.236,0.2312,3.254,0.8,1.4,1
16,398188.432,3874789.171,0.09,0.2311,3.467,0.2311,3.485,0.1,0.2,1
17,398188.590,3874789.003,0.077,0.2311,3.698,0.2315,3.717,3.2,5.6,1
18,398188.749,3874788.834,0.052,0.2311,3.929,0.2325,3.949,6.2,10.9,1
19,398188.907,3874788.666,0.012,0.2311,4.16,0.2345,4.184,9.6,17.0,1
20,398189.065,3874788.497,0.029,0.2311,4.392,0.2348,4.419,10.1,17.8,1
21,398189.223,3874788.329,0.061,0.2311,4.623,0.2334,4.652,7.9,13.9,1
22,398189.381,3874788.160,0.078,0.2311,4.854,0.2317,4.884,4.1,7.2,1
23,398189.539,3874787.992,0.083,0.2311,5.085,0.2312,5.115,1.4,2.5,1
24,398189.698,3874787.823,0.087,0.2311,5.316,0.2312,5.346,0.9,1.5,1
25,398189.856,3874787.655,0.096,0.2311,5.547,0.2313,5.577,2.2,3.9,1
26,398190.014,3874787.486,0.111,0.2311,5.778,0.2316,5.809,3.8,6.6,1
27,398190.172,3874787.318,0.123,0.2311,6.01,0.2315,6.041,3.0,5.3,1
28,398190.330,3874787.149,0.132,0.2311,6.241,0.2313,6.272,2.2,3.8,1
29,398190.488,3874786.981,0.137,0.2311,6.472,0.2312,6.503,1.2,2.0,1
30,398190.646,3874786.812,0.139,0.2311,6.703,0.2311,6.734,0.4,0.8,1
31,398190.805,3874786.644,0.138,0.2311,6.934,0.2311,6.965,0.3,0.4,1
32,398190.963,3874786.476,0.132,0.2311,7.165,0.2312,7.197,1.4,2.5,1
