"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,399437.582,3875969.533,0.057,0,0,0,0,,,1
2,399437.752,3875969.367,0.065,0.2377,0.2377,0.2379,0.2379,1.8,3.2,1
3,399437.922,3875969.200,0.071,0.2377,0.4755,0.2378,0.4757,1.5,2.6,1
4,399438.091,3875969.034,0.075,0.2377,0.713,0.2378,0.713,1.0,1.7,1
5,399438.261,3875968.868,0.075,0.2377,0.951,0.2377,0.951,0.0,0.1,1
6,399438.431,3875968.702,0.073,0.2377,1.189,0.2377,1.189,0.4,0.7,1
7,399438.601,3875968.536,0.071,0.2377,1.426,0.2378,1.427,0.7,1.2,1
8,399438.771,3875968.370,0.068,0.2377,1.664,0.2378,1.664,0.6,1.1,1
9,399438.941,3875968.203,0.064,0.2377,1.902,0.2378,1.902,0.8,1.4,1
10,399439.111,3875968.037,0.06,0.2377,2.14,0.2378,2.14,1.1,2.0,1
11,399439.281,3875967.871,0.055,0.2377,2.377,0.2378,2.378,1.1,2.0,1
12,399439.451,3875967.705,0.049,0.2377,2.615,0.2378,2.616,1.5,2.7,1
13,399439.621,3875967.539,0.043,0.2377,2.853,0.2378,2.853,1.4,2.5,1
14,399439.791,3875967.373,0.036,0.2377,3.091,0.2378,3.091,1.5,2.6,1
15,399439.961,3875967.206,0.031,0.2377,3.328,0.2378,3.329,1.3,2.3,1
16,399440.131,3875967.040,0.026,0.2377,3.566,0.2378,3.567,1.1,1.9,1
17,399440.300,3875966.874,0.024,0.2377,3.804,0.2378,3.805,0.6,1.1,1
18,399440.470,3875966.708,0.023,0.2377,4.042,0.2377,4.042,0.2,0.4,1
19,399440.640,3875966.542,0.023,0.2377,4.279,0.2377,4.28,0.1,0.1,1
20,399440.810,3875966.375,0.025,0.2377,4.517,0.2377,4.518,0.4,0.7,1
21,399440.980,3875966.209,0.026,0.2377,4.755,0.2377,4.756,0.4,0.7,1
22,399441.150,3875966.043,0.029,0.2377,4.993,0.2378,4.993,0.6,1.0,1
23,399441.320,3875965.877,0.03,0.2377,5.23,0.2377,5.231,0.4,0.8,1
24,399441.490,3875965.711,0.033,0.2377,5.468,0.2378,5.469,0.6,1.0,1
25,399441.660,3875965.545,0.035,0.2377,5.706,0.2377,5.707,0.5,0.8,1
26,399441.830,3875965.378,0.037,0.2377,5.943,0.2378,5.944,0.6,1.0,1
27,399442.000,3875965.212,0.039,0.2377,6.181,0.2377,6.182,0.5,0.9,1
28,399442.170,3875965.046,0.04,0.2377,6.419,0.2377,6.42,0.2,0.4,1
29,399442.340,3875964.880,0.042,0.2377,6.657,0.2377,6.658,0.3,0.6,1
30,399442.509,3875964.714,0.04,0.2377,6.894,0.2377,6.895,0.3,0.5,1
31,399442.679,3875964.547,0.038,0.2377,7.132,0.2378,7.133,0.6,1.1,1
32,399442.849,3875964.381,0.034,0.2377,7.37,0.2378,7.371,0.9,1.5,1
33,399443.019,3875964.215,0.03,0.2377,7.608,0.2378,7.609,1.0,1.7,1
34,399443.189,3875964.049,0.029,0.2377,7.845,0.2377,7.846,0.3,0.5,1
35,399443.359,3875963.883,0.03,0.2377,8.083,0.2377,8.084,0.4,0.6,1
36,399443.529,3875963.717,0.033,0.2377,8.321,0.2378,8.322,0.8,1.3,1
37,399443.699,3875963.550,0.037,0.2377,8.559,0.2378,8.56,0.9,1.5,1
38,399443.869,3875963.384,0.04,0.2377,8.796,0.2378,8.797,0.7,1.2,1
39,399444.039,3875963.218,0.043,0.2377,9.034,0.2378,9.035,0.7,1.2,1
40,399444.209,3875963.052,0.046,0.2377,9.272,0.2378,9.273,0.7,1.2,1
41,399444.379,3875962.886,0.048,0.2377,9.51,0.2378,9.511,0.7,1.2,1
42,399444.549,3875962.719,0.052,0.2377,9.747,0.2378,9.748,0.8,1.4,1
43,399444.718,3875962.553,0.054,0.2377,9.985,0.2378,9.986,0.6,1.1,1
44,399444.888,3875962.387,0.057,0.2377,10.223,0.2378,10.224,0.6,1.0,1
45,399445.058,3875962.221,0.058,0.2377,10.461,0.2377,10.462,0.2,0.4,1
46,399445.228,3875962.055,0.057,0.2377,10.698,0.2377,10.699,0.2,0.4,1
47,399445.398,3875961.889,0.055,0.2377,10.936,0.2377,10.937,0.5,0.8,1
48,399445.568,3875961.722,0.053,0.2377,11.174,0.2378,11.175,0.6,1.0,1
49,399445.738,3875961.556,0.051,0.2377,11.411,0.2377,11.413,0.3,0.5,1
